attacked_file,detection_csv,figure,baseline,attack_axis,attack_type,threshold_type,threshold,window_rule,W,N,rolling_mean_multiplier,prediction_file,prediction_column,n_eval_samples,detector,TP,FP,TN,FN,precision,recall,f1,false_positive_rate,detection_delay_samples
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W10_N3_mean1.25x,10,3,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W10_N3_mean1.25x,10,3,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W10_N3_mean1.5x,10,3,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W10_N3_mean1.5x,10,3,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,248,2,0,0.0,,,0.992,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W10_N3_mean1.5x,10,3,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W10_N3_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W10_N3_mean1.5x,10,3,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1x,20,5,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1x,20,5,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,246,4,0,0.0,,,0.984,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1x,20,5,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1x,20,5,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.25x,20,5,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.25x,20,5,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,246,4,0,0.0,,,0.984,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.25x,20,5,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.25x,20,5,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.5x,20,5,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.5x,20,5,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,246,4,0,0.0,,,0.984,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.5x,20,5,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W20_N5_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W20_N5_mean1.5x,20,5,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1x,30,8,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1x,30,8,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,243,7,0,0.0,,,0.972,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1x,30,8,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1x,30,8,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.25x,30,8,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.25x,30,8,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,243,7,0,0.0,,,0.972,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.25x,30,8,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.25x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.25x,30,8,1.25,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.5x,30,8,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,point,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.5x,30,8,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_count,0,243,7,0,0.0,,,0.972,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.5x,30,8,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_pulse_Yaw__detect_W30_N8_mean1.5x.png,baseline_01_hover,Yaw,pulse,p99_abs,0.013596,W30_N8_mean1.5x,30,8,1.5,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.png,baseline_01_hover,Pitch,ramp,p99_abs,0.009161,W10_N3_mean1x,10,3,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,250,point,0,245,5,0,0.0,,,0.98,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.png,baseline_01_hover,Pitch,ramp,p99_abs,0.009161,W10_N3_mean1x,10,3,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,250,window_count,0,248,2,0,0.0,,,0.992,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.png,baseline_01_hover,Pitch,ramp,p99_abs,0.009161,W10_N3_mean1x,10,3,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,250,window_mean,0,250,0,0,0.0,,,1.0,
/home/tchowdh4/sensor_recovery_project/attack_detection_v9/attacked_att/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch.csv,/home/tchowdh4/sensor_recovery_project/attack_detection_v9/detection_csvs/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.csv,/home/tchowdh4/sensor_recovery_project/figures/attack_detection_v9/baseline_01_hover__baseline_01_hover_ATT__attack_ramp_Pitch__detect_W10_N3_mean1x.png,baseline_01_hover,Pitch,ramp,p99_abs,0.009161,W10_N3_mean1x,10,3,1.0,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv,Pitch_hybrid_prediction,250,window_combined,0,250,0,0,0.0,,,1.0,
